,Day,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
79,2021-03-04,United Kingdom,2021-03-05 05:26:29,52.1307,-3.7837,204463,5366,0.0,199097.0,"Wales, United Kingdom",6514.465048110623,2.624435716975688
80,2021-03-05,United Kingdom,2021-03-06 04:23:41,18.2206,-63.0686,18,0,18.0,0.0,"Anguilla, United Kingdom",119.98400213304892,0.0
81,2021-03-05,United Kingdom,2021-03-06 04:23:41,32.3078,-64.7505,722,12,688.0,22.0,"Bermuda, United Kingdom",1159.4109806818365,1.6620498614958448
82,2021-03-05,United Kingdom,2021-03-06 04:23:41,18.4207,-64.64,153,1,131.0,21.0,"British Virgin Islands, United Kingdom",506.002579620994,0.6535947712418301
83,2021-03-05,United Kingdom,2021-03-06 04:23:41,19.3133,-81.2546,451,2,426.0,23.0,"Cayman Islands, United Kingdom",686.2446743761412,0.4434589800443459
84,2021-03-05,United Kingdom,2021-03-06 04:23:41,49.3723,-2.3644,4041,86,3948.0,7.0,"Channel Islands, United Kingdom",2370.101877430366,2.1281860925513487
85,2021-03-05,United Kingdom,2021-03-06 04:23:41,52.3555,-1.1743,3684724,109406,0.0,3575318.0,"England, United Kingdom",6582.544321616659,2.969177610046234
86,2021-03-05,United Kingdom,2021-03-06 04:23:41,-51.7963,-59.5236,54,0,51.0,3.0,"Falkland Islands (Malvinas), United Kingdom",1550.387596899225,0.0
87,2021-03-05,United Kingdom,2021-03-06 04:23:41,36.1408,-5.3536,4244,93,4131.0,20.0,"Gibraltar, United Kingdom",12596.835950253777,2.191328934967012
88,2021-03-05,United Kingdom,2021-03-06 04:23:41,54.2361,-4.5481,605,25,417.0,163.0,"Isle of Man, United Kingdom",711.4968482453662,4.132231404958676
89,2021-03-05,United Kingdom,2021-03-06 04:23:41,16.742498,-62.187366000000004,20,1,13.0,6.0,"Montserrat, United Kingdom",400.0800160032006,5.0
90,2021-03-05,United Kingdom,2021-03-06 04:23:41,54.7877,-6.4923,113335,2068,0.0,111267.0,"Northern Ireland, United Kingdom",6023.331207482993,1.8246790488375169
91,2021-03-05,United Kingdom,2021-03-06 04:23:41,-7.9467,-14.3559,4,0,4.0,0.0,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom",70.65889418830595,0.0
92,2021-03-05,United Kingdom,2021-03-06 04:23:41,56.4907,-4.2026,204553,7409,0.0,197144.0,"Scotland, United Kingdom",3744.129006278257,3.62204416459304
93,2021-03-05,United Kingdom,2021-03-06 04:23:41,21.69400000000001,-71.7979,2172,14,2007.0,151.0,"Turks and Caicos Islands, United Kingdom",5609.793894312725,0.6445672191528545
94,2021-03-05,United Kingdom,2021-03-06 04:23:41,,,0,0,0.0,0.0,"Unknown, United Kingdom",,
95,2021-03-05,United Kingdom,2021-03-06 04:23:41,52.1307,-3.7837,204692,5378,0.0,199314.0,"Wales, United Kingdom",6521.761294844835,2.6273620854747617
96,2021-03-06,United Kingdom,2021-03-07 05:21:54,18.2206,-63.0686,18,0,18.0,0.0,"Anguilla, United Kingdom",119.98400213304892,0.0
97,2021-03-06,United Kingdom,2021-03-07 05:21:54,32.3078,-64.7505,722,12,688.0,22.0,"Bermuda, United Kingdom",1159.4109806818365,1.6620498614958448
98,2021-03-06,United Kingdom,2021-03-07 05:21:54,18.4207,-64.64,153,1,131.0,21.0,"British Virgin Islands, United Kingdom",506.002579620994,0.6535947712418301
99,2021-03-06,United Kingdom,2021-03-07 05:21:54,19.3133,-81.2546,451,2,426.0,23.0,"Cayman Islands, United Kingdom",686.2446743761412,0.4434589800443459
100,2021-03-06,United Kingdom,2021-03-07 05:21:54,49.3723,-2.3644,4041,86,3948.0,7.0,"Channel Islands, United Kingdom",2370.101877430366,2.1281860925513487
101,2021-03-06,United Kingdom,2021-03-07 05:21:54,52.3555,-1.1743,3689842,109541,0.0,3580301.0,"England, United Kingdom",6591.687329841436,2.9687179017421337
102,2021-03-06,United Kingdom,2021-03-07 05:21:54,-51.7963,-59.5236,54,0,51.0,3.0,"Falkland Islands (Malvinas), United Kingdom",1550.387596899225,0.0
103,2021-03-06,United Kingdom,2021-03-07 05:21:54,36.1408,-5.3536,4247,93,4132.0,22.0,"Gibraltar, United Kingdom",12605.74040544953,2.18978102189781
104,2021-03-06,United Kingdom,2021-03-07 05:21:54,54.2361,-4.5481,676,25,417.0,234.0,"Isle of Man, United Kingdom",794.9948254774672,3.6982248520710064
105,2021-03-06,United Kingdom,2021-03-07 05:21:54,16.742498,-62.187366000000004,20,1,14.0,5.0,"Montserrat, United Kingdom",400.0800160032006,5.0
106,2021-03-06,United Kingdom,2021-03-07 05:21:54,54.7877,-6.4923,113507,2072,0.0,111435.0,"Northern Ireland, United Kingdom",6032.472363945577,1.8254380787088018
107,2021-03-06,United Kingdom,2021-03-07 05:21:54,-7.9467,-14.3559,4,0,4.0,0.0,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom",70.65889418830595,0.0
108,2021-03-06,United Kingdom,2021-03-07 05:21:54,56.4907,-4.2026,205108,7421,0.0,197687.0,"Scotland, United Kingdom",3754.2877015723097,3.618093882247402
109,2021-03-06,United Kingdom,2021-03-07 05:21:54,21.69400000000001,-71.7979,2177,15,2020.0,142.0,"Turks and Caicos Islands, United Kingdom",5622.707784493001,0.6890215893431327
110,2021-03-06,United Kingdom,2021-03-07 05:21:54,,,0,0,0.0,0.0,"Unknown, United Kingdom",,
111,2021-03-06,United Kingdom,2021-03-07 05:21:54,52.1307,-3.7837,204886,5385,0.0,199501.0,"Wales, United Kingdom",6527.9423946982715,2.628290854426364
112,2021-03-07,United Kingdom,2021-03-08 05:24:48,18.2206,-63.0686,18,0,18.0,0.0,"Anguilla, United Kingdom",119.98400213304892,0.0
113,2021-03-07,United Kingdom,2021-03-08 05:24:48,32.3078,-64.7505,722,12,688.0,22.0,"Bermuda, United Kingdom",1159.4109806818365,1.6620498614958448
114,2021-03-07,United Kingdom,2021-03-08 05:24:48,18.4207,-64.64,153,1,131.0,21.0,"British Virgin Islands, United Kingdom",506.002579620994,0.6535947712418301
115,2021-03-07,United Kingdom,2021-03-08 05:24:48,19.3133,-81.2546,451,2,426.0,23.0,"Cayman Islands, United Kingdom",686.2446743761412,0.4434589800443459
116,2021-03-07,United Kingdom,2021-03-08 05:24:48,49.3723,-2.3644,4041,86,3948.0,7.0,"Channel Islands, United Kingdom",2370.101877430366,2.1281860925513487
117,2021-03-07,United Kingdom,2021-03-08 05:24:48,52.3555,-1.1743,3694339,109602,0.0,3584737.0,"England, United Kingdom",6599.72095781854,2.9667553519046304
118,2021-03-07,United Kingdom,2021-03-08 05:24:48,-51.7963,-59.5236,54,0,51.0,3.0,"Falkland Islands (Malvinas), United Kingdom",1550.387596899225,0.0
119,2021-03-07,United Kingdom,2021-03-08 05:24:48,36.1408,-5.3536,4249,93,4134.0,22.0,"Gibraltar, United Kingdom",12611.67670891336,2.1887502941868675
120,2021-03-07,United Kingdom,2021-03-08 05:24:48,54.2361,-4.5481,757,25,417.0,315.0,"Isle of Man, United Kingdom",890.2530811929628,3.3025099075297226
121,2021-03-07,United Kingdom,2021-03-08 05:24:48,16.742498,-62.187366000000004,20,1,14.0,5.0,"Montserrat, United Kingdom",400.0800160032006,5.0
122,2021-03-07,United Kingdom,2021-03-08 05:24:48,54.7877,-6.4923,113645,2075,0.0,111570.0,"Northern Ireland, United Kingdom",6039.806547619048,1.8258612345461744
123,2021-03-07,United Kingdom,2021-03-08 05:24:48,-7.9467,-14.3559,4,0,4.0,0.0,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom",70.65889418830595,0.0
124,2021-03-07,United Kingdom,2021-03-08 05:24:48,56.4907,-4.2026,205498,7421,0.0,198077.0,"Scotland, United Kingdom",3761.426244211374,3.611227359876982
125,2021-03-07,United Kingdom,2021-03-08 05:24:48,21.69400000000001,-71.7979,2177,15,2020.0,142.0,"Turks and Caicos Islands, United Kingdom",5622.707784493001,0.6890215893431327
126,2021-03-07,United Kingdom,2021-03-08 05:24:48,,,0,0,0.0,0.0,"Unknown, United Kingdom",,
127,2021-03-07,United Kingdom,2021-03-08 05:24:48,52.1307,-3.7837,205038,5403,0.0,199635.0,"Wales, United Kingdom",6532.785318294781,2.6351212945892954
